ID,n_clicks,n_visits,amount_spent,amount_discount,days_since_registration,profile_information
2085,643,142,300.0,228.43250320939143,132,411
742,527,95,743.8325075229806,60.88283134266024,86,184
750,367,49,305.6688858150793,72.96180132339678,334,329
1224,466,30,291.19119300340867,101.90316953465893,131,148
2210,715,169,703.1368778621209,506.4167352336198,114,160
1632,204,84,312.33115156563093,59.930121668129075,274,295
2416,600,135,1008.169771347291,717.6964964640651,165,28
903,316,115,823.8745618295696,6.360025642879199,184,146
111,224,115,800.0,24.41452031272628,324,0
1581,363,132,322.49080582841526,67.12276379503119,248,101
1231,321,162,976.5316249749252,262.8858683945452,244,229
2002,624,98,844.5409682264817,723.3502912440073,171,13
1078,390,72,831.0067461392123,173.45294723634004,209,140
301,276,85,1260.6902277646532,28.543590345569136,151,214
1475,430,109,1105.995406100369,153.24642253360298,277,270
1343,461,93,373.6405937956372,49.067784594564046,113,201
862,249,93,555.3158115300838,111.21790167781154,205,87
817,278,42,691.6693153071153,9.678355401231219,200,259
1273,275,105,393.41458543126214,31.04643927374414,18,99
1388,288,145,384.25665300383224,118.97534429181913,341,147
389,339,87,3550.7322935193306,43.96368359755049,200,133
1997,653,114,1069.998967944097,790.6184347938796,258,167
2454,366,134,300.0,242.62893041055995,309,0
14,169,54,4006.9423294722815,145.46900630996177,147,251
489,337,114,2335.6213114338475,57.4564862261941,36,160
1256,412,100,384.393886755335,9.698284569385345,212,41
2406,945,119,1732.1826731947974,1320.8455992645188,376,79
2490,698,120,300.0,217.99539034998068,2,139
878,315,71,364.55102897021004,85.37989866519395,58,236
738,516,104,489.8047059994446,49.667409734182584,181,218
44,224,32,4795.652434324798,133.83974983970734,155,213
1209,130,71,990.0746832756125,169.55149768329957,280,313
2367,691,150,1497.299467679132,1245.60940278561,244,184
1668,177,30,866.3696456801144,204.49560377303982,246,84
791,318,69,141.8876817538629,43.32575889801323,118,159
233,370,50,1848.3979190498665,79.88464041070617,318,271
1552,592,97,719.0904873975128,58.57672024127149,79,349
2453,575,72,1338.0416254074314,1155.5027065609552,306,349
1569,409,114,578.598000449879,31.081582026217447,377,230
920,295,74,645.3693216500526,248.89204729980213,138,97
746,323,124,1212.9077405546968,141.75340257304399,107,103
1413,294,85,545.1592702780898,9.07215533487843,246,178
1909,424,95,300.0,214.41049660816049,108,281
2383,772,46,1214.3937481089442,912.4203335844246,254,211
824,649,124,569.5325388982345,46.53480728304674,333,300
1360,470,83,282.96431005503536,100.20137797558968,327,447
1176,388,119,492.15036700637455,123.69438911407356,185,147
1242,428,99,1001.6333911263187,146.64529355122582,105,280
1394,497,82,315.412646944071,41.51622963583523,287,45
1902,322,135,2178.535670765583,1883.8121576828698,87,45
1890,552,170,1283.9097174354924,1133.1872155911437,156,214
454,446,70,4112.6093389491925,173.72979639010128,125,151
1663,580,30,507.43830861328826,197.0338630624937,293,200
1359,539,128,916.2381024928857,171.66986908906975,309,194
1390,274,97,252.72958266942092,61.82084987846292,514,310
2320,508,179,1318.452669276507,927.7555572119137,82,228
1588,351,101,333.1524778534659,72.1520949911457,76,385
198,305,40,3115.9130567605557,50.82373685424663,139,231
2442,398,108,1982.3823774277982,1603.4478533290167,6,25
2495,664,163,1422.6073523521866,1048.030057757672,378,160
2280,615,68,1188.477943350766,964.1337320713415,269,215
2461,754,173,1036.2777721860346,783.5867032342784,128,144
2306,776,195,1905.3877609673984,1536.1821962867002,314,254
987,514,48,307.71283175201114,57.5021901980692,156,140
796,469,30,803.1625564050549,30.03582565365719,227,335
175,187,81,3543.433204911013,48.822623267211426,144,132
2386,519,170,414.78304873188773,327.6048136882037,193,74
1210,386,47,563.5440965399287,221.6436088141386,353,220
2162,715,47,1496.8831211520205,1155.5572492736653,130,291
114,127,91,2735.6420620260515,46.95394333736343,271,244
1386,586,43,712.4339256578413,17.0925073382009,204,206
2499,528,173,821.688183946152,666.2275764234663,178,395
2451,638,163,526.3321567672099,457.5343551045838,166,233
1315,447,95,698.767760073094,216.17588433363213,3,315
1027,560,128,643.1293929325756,210.01974965858076,215,230
1330,479,70,958.8892631529417,350.8828867687287,173,0
1035,380,120,666.9907018656615,84.0907967515713,303,259
967,370,136,354.6887544041782,76.90154229126145,199,297
2192,731,81,1090.9836526574306,925.96280988109,65,174
2285,703,69,2379.317457917536,2104.881875466776,222,171
2129,741,108,906.9858627983831,757.9365595521159,197,180
1748,446,136,727.6911675617025,552.5790032919554,167,195
1761,640,67,1023.2373158232223,794.1892387736935,229,153
1707,374,119,716.4601840655869,56.21041384513367,219,220
1395,608,76,692.8595790912715,165.78574355395315,131,154
2221,558,176,1857.9236374683232,1580.8801082720731,35,193
853,469,101,1046.5184033074286,314.11832873541425,235,152
1180,232,67,522.7774178445117,85.91181418500176,138,250
1115,316,109,660.4740342598778,218.83432510759846,450,373
94,370,57,800.0,30.66383778848207,12,164
186,490,68,3221.2089513864644,49.041364027033296,310,318
332,368,91,3386.5930282957415,2.4039111663601247,197,111
1681,247,112,936.5482475962443,259.4015194863121,147,125
1352,230,73,493.08089780381846,68.24287217226305,204,180
901,338,104,751.758572952178,57.644628209777174,216,93
1337,265,109,529.048087362743,87.16560261540275,239,126
2223,784,135,1573.4008941692944,1153.9715072288257,186,260
297,99,92,3090.6837282279535,95.04930402291986,169,124
2483,723,101,1107.6499955712252,870.6112439105742,175,101
34,112,41,3566.5387939295256,59.640112365327276,251,585
2245,683,114,2279.076113456357,1838.1558959883203,233,245
794,311,112,708.3075435428266,42.70596045778389,236,38
275,307,79,3213.8227317350693,115.77101264723909,233,170
1145,425,116,216.52121122272746,1.0949565472552618,138,88
1564,281,69,788.499013722539,128.8904717490378,72,357
2450,725,123,1911.8053689933815,1686.1897965639719,116,0
640,188,48,4076.7785144124573,25.70615580224647,360,282
436,176,72,3503.0084450767654,50.74597869050148,270,278
1829,523,101,1889.1974007883887,1444.2240941003422,286,347
2067,474,217,1488.6821830676236,1065.2861040534751,218,129
723,307,91,396.8429287040117,73.02961346636518,172,226
2009,713,47,1020.9620338570525,833.8885590847333,338,126
715,476,62,582.9178623825621,69.27795947722532,132,315
2226,598,133,1036.3784861321938,753.4617425704715,278,346
2144,417,145,1895.9994577661414,1442.898110713925,233,308
1793,971,167,1700.9096451005262,1257.4171176204811,205,229
926,489,114,262.42053305770213,36.465680341345326,165,253
196,80,67,1912.5497821339907,90.62484957378413,217,339
1881,448,40,1498.2334858144231,1160.1136807244834,205,140
35,307,104,4049.4019398425226,105.14529124852932,168,275
1263,241,63,798.1262807823935,139.76772464984407,203,182
852,378,95,1198.1588817697784,191.14785297809823,194,74
994,203,93,1022.1714410303291,142.8689483897578,114,219
101,172,32,1043.4077262052936,32.90753649349359,265,194
